time_s,Tw_true,Tw_pred_rollout
0.0,23.0,23.0
60.0,22.99625345238221,22.99967801140608
120.0,22.992472831370065,22.99813702072301
180.0,22.988653232447117,22.996489291620698
240.0,22.98479514812123,22.994814600650326
300.0,22.98089941051874,22.99311832699701
360.0,22.97696686899428,22.99140113736475
420.0,22.972998369541926,22.989663399513258
480.0,22.968994753443376,22.98790546193845
540.0,22.96495685715774,22.98612767173569
600.0,22.96088551229493,22.984330375707465
660.0,22.95678154559709,22.982513920388314
720.0,22.952645778923102,22.98067865200026
780.0,22.948479029235543,22.978824916404843
840.0,22.944282108589924,22.976953059056115
900.0,22.940055824126222,22.975063424954843
960.0,22.935800978062403,22.973156358603912
1020.0,22.93151836768985,22.971232203964863
1080.0,22.927208785370716,22.969291304415595
1140.0,22.922873018536823,22.967334002709134
1200.0,22.918511849690347,22.965360640933483
1260.0,22.91412605640584,22.963371560472527
1320.0,22.909716411333783,22.961367101967927
1380.0,22.90528368220541,22.959347605282026
1440.0,22.90082863183879,22.957313409461722
1500.0,22.896352018146075,22.955264852703266
1560.0,22.89185459414184,22.953202272318006
1620.0,22.887337107952455,22.951126004699024
1680.0,22.88280030282641,22.949036385288647
1740.0,22.87824491714552,22.946933748546822
1800.0,22.87367168443698,22.94481842792035
1860.0,22.869081333386244,22.942690755812915
1920.0,22.864474587850538,22.940551063555958
1980.0,22.85985216687312,22.9383996813803
2040.0,22.855214784698177,22.93623693838857
2100.0,22.85056315078625,22.934063162528382
2160.0,22.845897969830272,22.931878680566243
2220.0,22.841219941772025,22.929683818062205
2280.0,22.83652976181915,22.927478899345225
2340.0,22.831828120462525,22.92526424748921
2400.0,22.82711570349404,22.92304018428977
2460.0,22.82239319202476,22.920807030241633
2520.0,22.81766126250337,22.9185651045167
2580.0,22.812920586734997,22.916314724942776
2640.0,22.80817183190016,22.91405620798292
2700.0,22.80341566057414,22.91178986871541
2760.0,22.79865273074644,22.90951602081433
2820.0,22.793883695840456,22.90723497653075
2880.0,22.789109204733386,22.90494704667448
2940.0,22.78432990177619,22.902652540596424
3000.0,22.77954642681376,22.900351766171482
3060.0,22.774759415205125,22.898045029782
3120.0,22.76996949784383,22.895732636301787
3180.0,22.7651773011783,22.89341488908064
3240.0,22.7603834472323,22.89109208992941
3300.0,22.75558855362543,22.888764539105576
3360.0,22.75079323359364,22.886432535299324
3420.0,22.745998096009732,22.884096375620107
3480.0,22.741203745403915,22.881756355583722
3540.0,22.736410781984244,22.879412769099837
3600.0,22.731619801657114,22.877065908459983
3660.0,22.72683139604767,22.874716064326037
3720.0,22.722046152520168,22.872363525719116
3780.0,22.717264654198253,22.870008580008943
3840.0,22.7124874799852,22.86765151290362
3900.0,22.707715204584023,22.865292608439862
3960.0,22.70294839851753,22.86293214897361
4020.0,22.69818762814823,22.860570415171082
4080.0,22.693433455698163,22.85820768600021
4140.0,22.688686439268597,22.855844238722483
4200.0,22.683947132859583,22.853480348885167
4260.0,22.67921608638942,22.85111629031391
4320.0,22.674493845713897,22.848752335105722
4380.0,22.669780952645468,22.846388753622307
4440.0,22.66507794497223,22.84402581448377
4500.0,22.66038535647673,22.84166378456267
4560.0,22.655703716954665,22.8393029289784
4620.0,22.65103355223331,22.836943511091942
4680.0,22.64637538418988,22.83458579250091
4740.0,22.641729730769622,22.832230033034946
4800.0,22.63709710600378,22.82987649075143
4860.0,22.63247802002732,22.827525421931487
4920.0,22.6278729790965,22.825177081076312
4980.0,22.62328248560624,22.822831720903796
